Success Rate (%),Average Cost,Standard Deviation,Average Execution Time (s),Parameters,Dataset
100.0,18773.9,1397.9267827751207,0.00669248104095459,"(1000, 0.999, 500, 0.001, 500, 1000)",datasets/sppnw41.txt
100.0,46582.0,13162.470687526715,0.015035295486450195,"(1000, 0.999, 500, 0.001, 500, 10000)",datasets/sppnw41.txt
100.0,259428.0,162810.05824395493,0.018447256088256835,"(1000, 0.999, 500, 0.001, 500, 100000)",datasets/sppnw41.txt
100.0,18873.5,1173.5130378483232,0.006513357162475586,"(1000, 0.999, 500, 0.001, 1000, 1000)",datasets/sppnw41.txt
100.0,43330.2,15692.33487916951,0.018371081352233885,"(1000, 0.999, 500, 0.001, 1000, 10000)",datasets/sppnw41.txt
100.0,289814.7,147235.86483126317,0.017926883697509766,"(1000, 0.999, 500, 0.001, 1000, 100000)",datasets/sppnw41.txt
100.0,18794.9,1597.895894606404,0.008015298843383789,"(1000, 0.999, 500, 0.001, 2000, 1000)",datasets/sppnw41.txt
100.0,43675.6,14011.089587894297,0.012891411781311035,"(1000, 0.999, 500, 0.001, 2000, 10000)",datasets/sppnw41.txt
100.0,248615.3,109038.25794284316,0.01797158718109131,"(1000, 0.999, 500, 0.001, 2000, 100000)",datasets/sppnw41.txt
100.0,18452.8,1786.7598495600914,0.009026002883911134,"(1000, 0.999, 500, 0.0001, 500, 1000)",datasets/sppnw41.txt
100.0,43587.0,15605.498902630445,0.01662788391113281,"(1000, 0.999, 500, 0.0001, 500, 10000)",datasets/sppnw41.txt
100.0,261059.7,185123.97593777528,0.019829940795898438,"(1000, 0.999, 500, 0.0001, 500, 100000)",datasets/sppnw41.txt
100.0,18889.7,1069.6402245615113,0.0073499917984008786,"(1000, 0.999, 500, 0.0001, 1000, 1000)",datasets/sppnw41.txt
100.0,45718.7,12194.321195130133,0.01826014518737793,"(1000, 0.999, 500, 0.0001, 1000, 10000)",datasets/sppnw41.txt
100.0,269539.9,161432.86386758427,0.01974167823791504,"(1000, 0.999, 500, 0.0001, 1000, 100000)",datasets/sppnw41.txt
100.0,19262.6,694.8782915014687,0.007334852218627929,"(1000, 0.999, 500, 0.0001, 2000, 1000)",datasets/sppnw41.txt
100.0,51675.3,12687.031103059533,0.015158319473266601,"(1000, 0.999, 500, 0.0001, 2000, 10000)",datasets/sppnw41.txt
100.0,309190.1,126200.26154445957,0.018218994140625,"(1000, 0.999, 500, 0.0001, 2000, 100000)",datasets/sppnw41.txt
100.0,17966.6,1816.7986789955569,0.013460302352905273,"(1000, 0.999, 500, 1e-05, 500, 1000)",datasets/sppnw41.txt
100.0,49080.0,11142.231760289318,0.015105366706848145,"(1000, 0.999, 500, 1e-05, 500, 10000)",datasets/sppnw41.txt
100.0,350673.9,118856.0032799774,0.018570780754089355,"(1000, 0.999, 500, 1e-05, 500, 100000)",datasets/sppnw41.txt
100.0,18531.6,1565.8298885894342,0.008429980278015137,"(1000, 0.999, 500, 1e-05, 1000, 1000)",datasets/sppnw41.txt
